Data,Custo,Receita
2021-06-03,"48.392,26","256.432,39"
2021-06-04,"51.454,72","253.095,61"
2021-06-05,"47.558,08","209.338,56"
2021-06-06,"49.854,47","217.257,87"
2021-06-07,"68.634,24","375.405,00"
2021-06-08,"64.454,46","363.998,81"
2021-06-09,"63.201,03","336.611,15"
2021-06-10,"61.039,41","322.312,91"
2021-06-11,"50.762,53","263.123,15"
2021-06-12,"42.061,37","183.233,96"
2021-06-13,"49.835,83","228.873,21"
2021-06-14,"77.362,65","420.435,16"
2021-06-15,"98.018,58","388.815,95"
2021-06-20,"66.591,91","254.885,55"
2021-06-21,"108.136,92","425.217,73"
2021-06-22,"99.564,85","366.893,21"
2021-06-23,"91.550,63","317.280,87"
2021-06-24,"95.879,17","298.775,25"
2021-06-25,"64.216,16","252.970,18"
2021-06-26,"50.644,66","183.752,08"
2021-06-27,"50.332,14","215.474,85"
2021-06-28,"86.319,69","341.991,00"
2021-06-29,"81.490,79","342.232,03"
2021-06-30,"78.182,09","347.178,75"
